Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
variable,CAT-APP-VEGMOMO,Vegetable Momos,1,0,visible,"Steamed dumplings stuffed with vegetables","Steamed dumplings stuffed with seasoned vegetables.",taxable,1,,Catering > Catering Appetizers,catering,Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-CHKMOMO,Chicken Momos,1,0,visible,"Steamed dumplings stuffed with chicken","Steamed dumplings stuffed with seasoned chicken.",taxable,1,,Catering > Catering Appetizers,catering,Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-SAMCHAAT,Samosa Chaat,1,0,visible,"Samosas topped with yogurt, tamarind & mint chutney","Samosas topped with yogurt, tamarind & mint chutney.",taxable,1,,Catering > Catering Appetizers,catering,Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-CAULI,Cauli Manchurian,1,0,visible,"Spiced cauliflower fritters in Indo-Chinese sauce","Spiced cauliflower fritters in Indo-Chinese sauce.",taxable,1,,Catering > Catering Appetizers,"catering, GF, V",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-TANDWING,Tandoori Chicken Wings,1,0,visible,"Grilled in tandoor with yogurt, ginger & garam masala","Grilled in tandoor with yogurt, ginger & garam masala.",taxable,1,,Catering > Catering Appetizers,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-SPICYWING,Spicy Tandoori Wings,1,0,visible,"Extra spicy tandoori wings","Extra spicy tandoori wings for heat lovers.",taxable,1,,Catering > Catering Appetizers,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-GARLSHRIMP,Garlic Shrimp,1,0,visible,"Shrimp with garlic and green pepper glaze","Shrimp with garlic and green pepper glaze.",taxable,1,,Catering > Catering Appetizers,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-CHKRASILA,Chicken Rasila,1,0,visible,"Pan-fried chicken with bell peppers, onions & black pepper","Pan-fried chicken with bell peppers, onions & black pepper.",taxable,1,,Catering > Catering Appetizers,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-LAMBRASILA,Lamb Rasila,1,0,visible,"Pan-fried lamb with bell peppers, onions & black pepper","Pan-fried lamb with bell peppers, onions & black pepper.",taxable,1,,Catering > Catering Appetizers,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-PAPADAM,Papadam,1,0,visible,"Crispy rice-flour wafers with cumin & cracked pepper","Crispy rice-flour wafers with cumin & cracked pepper.",taxable,1,,Catering > Catering Appetizers,"catering, GF, V",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-APP-SALAD,Indian Cucumber Salad,1,0,visible,"Refreshing cucumber, tomato & onion with zesty spices","Refreshing cucumber, tomato & onion with zesty spices.",taxable,1,,Catering > Catering Appetizers,"catering, GF, V",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-KEB-TIKKA,Tikka Kebobs,1,0,visible,"Boneless chicken skewers with garlic & ginger","Boneless chicken skewers with garlic & ginger. Served with grilled vegetables.",taxable,1,,Catering > Catering Kebobs,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-KEB-HONEY,Honey Tikka Kebobs,1,0,visible,"Sweet glazed chicken skewers with grilled vegetables","Sweet glazed chicken skewers with grilled vegetables.",taxable,1,,Catering > Catering Kebobs,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-KEB-SHRIMP,Shrimp Kebobs,1,0,visible,"Shrimp skewers with garlic & ginger","Shrimp skewers with garlic & ginger. Served with grilled vegetables.",taxable,1,,Catering > Catering Kebobs,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-KEB-LAMB,Lamb Kebobs,1,0,visible,"Lamb skewers with garlic & ginger","Lamb skewers with garlic & ginger. Served with grilled vegetables.",taxable,1,,Catering > Catering Kebobs,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-KEB-MIXED,Mixed Grill Kebobs,1,0,visible,"Chicken, shrimp & lamb skewers with grilled vegetables","Chicken, shrimp & lamb skewers with grilled vegetables.",taxable,1,,Catering > Catering Kebobs,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-CHK-TIKKA,Chicken Tikka Masala,1,1,visible,"Chicken in creamy tomato-butter sauce with fenugreek","Chicken in creamy tomato-butter sauce with fenugreek.",taxable,1,,Catering > Catering Chicken,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-CHK-BUTTER,Butter Chicken,1,1,visible,"Tandoori chicken in rich onion-tomato cream sauce","Tandoori chicken in rich onion-tomato cream sauce.",taxable,1,,Catering > Catering Chicken,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-CHK-KORMA,Chicken Korma,1,0,visible,"Chicken with nuts, raisins & spices in creamy gravy","Chicken with nuts, raisins & spices in creamy gravy.",taxable,1,,Catering > Catering Chicken,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-CHK-SAAG,Chicken Saag,1,0,visible,"Chicken in Punjabi-style spinach cream sauce","Chicken in Punjabi-style spinach cream sauce.",taxable,1,,Catering > Catering Chicken,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-CHK-KARAHI,Chicken Karahi,1,0,visible,"Chicken with bell peppers, tomatoes & onions in spicy curry","Chicken with bell peppers, tomatoes & onions in spicy curry.",taxable,1,,Catering > Catering Chicken,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-CHK-CURRY,Chicken Curry,1,0,visible,"Traditional curry with cumin, turmeric & aromatic spices","Traditional curry with cumin, turmeric & aromatic spices.",taxable,1,,Catering > Catering Chicken,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-CHK-VINDALOO,Chicken Vindaloo,1,0,visible,"Fiery curry with potatoes, chilies & vinegar. Spicy!","Fiery curry with potatoes, chilies & vinegar. Spicy!",taxable,1,,Catering > Catering Chicken,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-CHK-CHETTINAD,Chicken Chettinad,1,0,visible,"South Indian curry with curry leaves & turmeric","South Indian curry with curry leaves & turmeric.",taxable,1,,Catering > Catering Chicken,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-CHK-MALABAR,Chicken Malabar,1,0,visible,"South Indian curry with roasted fennel & coconut","South Indian curry with roasted fennel & coconut.",taxable,1,,Catering > Catering Chicken,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-CHK-ROGANJOSH,Chicken Rogan Josh,1,0,visible,"Braised chicken in yogurt gravy with browned onions","Braised chicken in yogurt gravy with browned onions.",taxable,1,,Catering > Catering Chicken,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-LAMB-TIKKA,Lamb Tikka Masala,1,1,visible,"Lamb in creamy tomato-onion curry","Lamb in creamy tomato-onion curry.",taxable,1,,Catering > Catering Lamb,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-LAMB-KORMA,Lamb Korma,1,0,visible,"Lamb with nuts, raisins & spices in creamy gravy","Lamb with nuts, raisins & spices in creamy gravy.",taxable,1,,Catering > Catering Lamb,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-LAMB-SAAG,Lamb Saag,1,0,visible,"Lamb in Punjabi-style spinach cream sauce","Lamb in Punjabi-style spinach cream sauce.",taxable,1,,Catering > Catering Lamb,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-LAMB-KARAHI,Lamb Karahi,1,0,visible,"Lamb with bell peppers, tomatoes & onions in spicy curry","Lamb with bell peppers, tomatoes & onions in spicy curry.",taxable,1,,Catering > Catering Lamb,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-LAMB-CURRY,Lamb Curry,1,0,visible,"Traditional curry with cumin, turmeric & aromatic spices","Traditional curry with cumin, turmeric & aromatic spices.",taxable,1,,Catering > Catering Lamb,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-LAMB-VINDALOO,Lamb Vindaloo,1,0,visible,"Fiery curry with potatoes, chilies & vinegar. Spicy!","Fiery curry with potatoes, chilies & vinegar. Spicy!",taxable,1,,Catering > Catering Lamb,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-LAMB-CHETTINAD,Lamb Chettinad,1,0,visible,"South Indian coconut curry with curry leaves","South Indian coconut curry with curry leaves.",taxable,1,,Catering > Catering Lamb,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-LAMB-MALABAR,Lamb Malabar,1,0,visible,"South Indian coconut curry with roasted fennel","South Indian coconut curry with roasted fennel.",taxable,1,,Catering > Catering Lamb,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-SEA-TIKKA,Shrimp Tikka Masala,1,1,visible,"Shrimp in creamy tomato-onion curry","Shrimp in creamy tomato-onion curry.",taxable,1,,Catering > Catering Seafood,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-SEA-KORMA,Shrimp Korma,1,0,visible,"Shrimp with nuts, raisins & spices in creamy gravy","Shrimp with nuts, raisins & spices in creamy gravy.",taxable,1,,Catering > Catering Seafood,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-SEA-SAAG,Shrimp Saag,1,0,visible,"Shrimp in Punjabi-style spinach cream sauce","Shrimp in Punjabi-style spinach cream sauce.",taxable,1,,Catering > Catering Seafood,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-SEA-KARAHI,Shrimp Karahi,1,0,visible,"Shrimp with bell peppers, tomatoes & onions in spicy curry","Shrimp with bell peppers, tomatoes & onions in spicy curry.",taxable,1,,Catering > Catering Seafood,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-SEA-CURRY,Shrimp Curry,1,0,visible,"Traditional curry with cumin, turmeric & aromatic spices","Traditional curry with cumin, turmeric & aromatic spices.",taxable,1,,Catering > Catering Seafood,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-SEA-VINDALOO,Shrimp Vindaloo,1,0,visible,"Fiery curry with potatoes, chilies & vinegar. Spicy!","Fiery curry with potatoes, chilies & vinegar. Spicy!",taxable,1,,Catering > Catering Seafood,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-SEA-CHETTINAD,Shrimp Chettinad,1,0,visible,"South Indian curry with curry leaves & turmeric","South Indian curry with curry leaves & turmeric.",taxable,1,,Catering > Catering Seafood,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEG-PTIKKA,Paneer Tikka Masala,1,1,visible,"Paneer in creamy tomato-butter sauce","Paneer in creamy tomato-butter sauce.",taxable,1,,Catering > Catering Vegetarian,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEG-PKORMA,Paneer Korma,1,0,visible,"Paneer with nuts, raisins & spices in creamy gravy","Paneer with nuts, raisins & spices in creamy gravy.",taxable,1,,Catering > Catering Vegetarian,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEG-PKARAHI,Paneer Karahi,1,0,visible,"Paneer with bell peppers, tomatoes in spicy curry","Paneer with bell peppers, tomatoes in spicy curry.",taxable,1,,Catering > Catering Vegetarian,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEG-PCURRY,Paneer Curry,1,0,visible,"Paneer in classic curry with cumin & turmeric","Paneer in classic curry with cumin & turmeric.",taxable,1,,Catering > Catering Vegetarian,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEG-PCHETTINAD,Paneer Chettinad,1,0,visible,"Paneer in South Indian curry with curry leaves","Paneer in South Indian curry with curry leaves.",taxable,1,,Catering > Catering Vegetarian,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEG-SAAGP,Saag Paneer,1,0,visible,"Paneer in rich, creamy spinach sauce","Paneer in rich, creamy spinach sauce.",taxable,1,,Catering > Catering Vegetarian,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEG-MATARP,Matar Paneer,1,0,visible,"Paneer & peas in tomato sauce with garam masala","Paneer & peas in tomato sauce with garam masala.",taxable,1,,Catering > Catering Vegetarian,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEG-MALAIKOFTA,Malai Kofta,1,0,visible,"Vegetable dumplings in coconut-cashew sauce","Vegetable dumplings in coconut-cashew sauce.",taxable,1,,Catering > Catering Vegetarian,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEG-KOFTAKESHARI,Kofta Keshari,1,0,visible,"Homemade vegetable cutlets in creamy Keshari sauce","Homemade vegetable cutlets in creamy Keshari sauce.",taxable,1,,Catering > Catering Vegetarian,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEGAN-CHANA,Chana Masala,1,1,visible,"Chickpeas in tangy tomato sauce with garam masala","Chickpeas in tangy tomato sauce with garam masala.",taxable,1,,Catering > Catering Vegan,"catering, GF, V",Size,"Small Tray (Serves 7)|Large Tray (Serves 15)",1,1
variable,CAT-VEGAN-VEGCURRY,Vegetable Curry,1,0,visible,"Mixed vegetables in traditional curry","Mixed vegetables in traditional curry.",taxable,1,,Catering > Catering Vegan,"catering, GF, V",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEGAN-TOFUSAAG,Tofu Saag,1,0,visible,"Tofu in Punjabi-style spinach sauce","Tofu in Punjabi-style spinach sauce.",taxable,1,,Catering > Catering Vegan,"catering, GF, V",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEGAN-DALMAKHANI,Dal Makhani,1,0,visible,"Black lentils slow-cooked with butter & cream","Black lentils slow-cooked with butter & cream.",taxable,1,,Catering > Catering Vegan,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEGAN-DALTADKA,Dal Tadka,1,0,visible,"Yellow lentils tempered with ghee & spices","Yellow lentils tempered with ghee & spices.",taxable,1,,Catering > Catering Vegan,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEGAN-ALOOGOBI,Aloo Gobi,1,0,visible,"Cauliflower & potatoes with onions & spices","Cauliflower & potatoes with onions & spices.",taxable,1,,Catering > Catering Vegan,"catering, GF, V",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEGAN-ALOOMATAR,Aloo Matar,1,0,visible,"Potatoes & green peas in aromatic curry","Potatoes & green peas in aromatic curry.",taxable,1,,Catering > Catering Vegan,"catering, GF, V",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-VEGAN-BAIGAN,Baigan Bharta,1,0,visible,"Roasted eggplant mashed with tomatoes & peas. Smoky!","Roasted eggplant mashed with tomatoes & peas. Smoky!",taxable,1,,Catering > Catering Vegan,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-BIR-VEG,Vegetable Biryani,1,0,visible,"Basmati rice with vegetables, saffron & spices","Basmati rice with vegetables, saffron & spices. Includes Raita.",taxable,1,,Catering > Catering Biryani,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-BIR-CHK,Chicken Biryani,1,1,visible,"Basmati rice with chicken, saffron & spices","Basmati rice with chicken, saffron & spices. Includes Raita.",taxable,1,,Catering > Catering Biryani,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-BIR-PANEER,Paneer Biryani,1,0,visible,"Basmati rice with paneer, saffron & spices","Basmati rice with paneer, saffron & spices. Includes Raita.",taxable,1,,Catering > Catering Biryani,"catering, GF, VO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-BIR-LAMB,Lamb Biryani,1,0,visible,"Basmati rice with lamb, saffron & spices","Basmati rice with lamb, saffron & spices. Includes Raita.",taxable,1,,Catering > Catering Biryani,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-BIR-SHRIMP,Shrimp Biryani,1,0,visible,"Basmati rice with shrimp, saffron & spices","Basmati rice with shrimp, saffron & spices. Includes Raita.",taxable,1,,Catering > Catering Biryani,"catering, GF, DFO",Size,"Small Tray (Serves 6)|Large Tray (Serves 15)",1,1
variable,CAT-RICE-BASMATI,Basmati Rice,1,0,visible,"Steamed aromatic basmati rice","Steamed aromatic basmati rice.",taxable,1,,Catering > Catering Rice & Noodles,"catering, GF, V",Size,"Small Tray (Serves 7)|Large Tray (Serves 15)",1,1
variable,CAT-RICE-BROWN,Brown Rice,1,0,visible,"Steamed brown rice","Steamed brown rice.",taxable,1,,Catering > Catering Rice & Noodles,"catering, GF, V",Size,"Small Tray (Serves 7)|Large Tray (Serves 15)",1,1
variable,CAT-RICE-FRIED,Fried Rice,1,0,visible,"Wok-fried rice with vegetables","Wok-fried rice with vegetables.",taxable,1,,Catering > Catering Rice & Noodles,"catering, GF, V",Size,"Small Tray (Serves 7)|Large Tray (Serves 15)",1,1
variable,CAT-RICE-YELLOW,Yellow (Turmeric) Rice,1,0,visible,"Golden rice infused with turmeric","Golden rice infused with turmeric.",taxable,1,,Catering > Catering Rice & Noodles,"catering, GF, VO",Size,"Small Tray (Serves 7)|Large Tray (Serves 15)",1,1
variable,CAT-NOODLE-VEG,Vegetable Chow Mein,1,0,visible,"Stir-fried noodles with vegetables","Stir-fried noodles with vegetables.",taxable,1,,Catering > Catering Rice & Noodles,catering,Size,"Small Tray (Serves 7)|Large Tray (Serves 15)",1,1
variable,CAT-NOODLE-CHK,Chicken Chow Mein,1,0,visible,"Stir-fried noodles with chicken","Stir-fried noodles with chicken.",taxable,1,,Catering > Catering Rice & Noodles,catering,Size,"Small Tray (Serves 7)|Large Tray (Serves 15)",1,1
variable,CAT-NOODLE-LAMB,Lamb Chow Mein,1,0,visible,"Stir-fried noodles with lamb","Stir-fried noodles with lamb.",taxable,1,,Catering > Catering Rice & Noodles,catering,Size,"Small Tray (Serves 7)|Large Tray (Serves 15)",1,1
variable,CAT-NOODLE-SHRIMP,Shrimp Chow Mein,1,0,visible,"Stir-fried noodles with shrimp","Stir-fried noodles with shrimp.",taxable,1,,Catering > Catering Rice & Noodles,catering,Size,"Small Tray (Serves 7)|Large Tray (Serves 15)",1,1
simple,CAT-BREAD-NAAN,Naan,1,0,visible,"Leavened flatbread baked in clay oven","Leavened flatbread baked in clay oven. Per piece.",taxable,1,2.50,Catering > Catering Breads,catering,,,0,0
simple,CAT-BREAD-GARLIC,Garlic Naan,1,0,visible,"Naan with fresh minced garlic & cilantro","Naan with fresh minced garlic & cilantro. Per piece.",taxable,1,3.50,Catering > Catering Breads,catering,,,0,0
simple,CAT-BREAD-CHEESE,Cheese Naan,1,0,visible,"Naan stuffed with cheese","Naan stuffed with cheese. Per piece.",taxable,1,3.50,Catering > Catering Breads,catering,,,0,0
simple,CAT-BREAD-GARLCHEESE,Garlic Cheese Naan,1,0,visible,"Naan with garlic and cheese","Naan with garlic and cheese. Per piece.",taxable,1,3.99,Catering > Catering Breads,catering,,,0,0
simple,CAT-BREAD-ALOO,Aloo Naan,1,0,visible,"Naan stuffed with spiced potatoes","Naan stuffed with spiced potatoes. Per piece.",taxable,1,3.99,Catering > Catering Breads,catering,,,0,0
simple,CAT-BREAD-KABULI,Kabuli Naan,1,0,visible,"Naan with nuts and dried fruits","Naan with nuts and dried fruits. Per piece.",taxable,1,3.99,Catering > Catering Breads,catering,,,0,0
simple,CAT-BREAD-PARATHA,Paratha,1,0,visible,"Flaky, buttery layered flatbread","Flaky, buttery layered flatbread. Per piece.",taxable,1,3.99,Catering > Catering Breads,catering,,,0,0
simple,CAT-BREAD-ROTI,Roti,1,0,visible,"Whole wheat unleavened flatbread","Whole wheat unleavened flatbread. Per piece.",taxable,1,2.99,Catering > Catering Breads,"catering, VO",,,0,0
simple,CAT-EXTRA-MINT,Mint Chutney,1,0,visible,"Cool, spicy & tangy green chutney","Cool, spicy & tangy green chutney.",taxable,1,7.99,Catering > Catering Extras,"catering, GF, V",,,0,0
simple,CAT-EXTRA-TAMARIND,Tamarind Chutney,1,0,visible,"Sweet & tangy sauce for samosas & pakoras","Sweet & tangy sauce for samosas & pakoras.",taxable,1,9.99,Catering > Catering Extras,"catering, GF, V",,,0,0
simple,CAT-EXTRA-RAITA,Raita (32 oz),1,0,visible,"Creamy yogurt sauce with fresh herbs","Creamy yogurt sauce with fresh herbs. 32 oz container.",taxable,1,7.99,Catering > Catering Extras,"catering, GF",,,0,0
simple,CAT-EXTRA-UTENSILS,Utensils Set,1,0,visible,"Plate, napkin, cutlery, salt & pepper","Complete utensils set including plate, napkin, cutlery, salt & pepper. Per person.",taxable,1,0.55,Catering > Catering Extras,catering,,,0,0
variable,CAT-DESSERT-GULAB,Gulab Jamun,1,0,visible,"Golden milk pastry globes in cardamom syrup","Golden milk pastry globes in cardamom syrup.",taxable,1,,Catering > Catering Desserts,catering,Size,"Small Tray (Serves 6)|Large Tray (Serves 12)",1,1
variable,CAT-DESSERT-RASMALAI,Ras Malai,1,0,visible,"Cottage cheese balls in aromatic milk syrup","Cottage cheese balls in aromatic milk syrup.",taxable,1,,Catering > Catering Desserts,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 12)",1,1
variable,CAT-DESSERT-KHEER,Rice Pudding (Kheer),1,0,visible,"Creamy rice pudding with cinnamon & raisins","Creamy rice pudding with cinnamon & raisins.",taxable,1,,Catering > Catering Desserts,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 12)",1,1
variable,CAT-DESSERT-GAJAR,Carrot Pudding (Gajar Halwa),1,0,visible,"Carrots slow-cooked with milk, sugar & nuts","Carrots slow-cooked with milk, sugar & nuts.",taxable,1,,Catering > Catering Desserts,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 12)",1,1
variable,CAT-DESSERT-SHRIKHAND,Shrikhand,1,0,visible,"Homemade yogurt with cinnamon & sliced bananas","Homemade yogurt with cinnamon & sliced bananas.",taxable,1,,Catering > Catering Desserts,"catering, GF",Size,"Small Tray (Serves 6)|Large Tray (Serves 12)",1,1
